destination_id,name,division,category,vibe_tags,budget_level,best_season,avg_cost_bdt_per_day,instagrammability,latitude,longitude,description
12,Paharpur (Somapura Mahavihara),Rajshahi,heritage,unesco|history-nerd|ancient,low,winter,1400,6,25.0309,88.977,Ruins of the largest known Buddhist monastery south of the Himalayas — UNESCO listed since 1985.
13,Mahasthangarh,Bogura,heritage,ancient|archaeology|underrated,low,winter,1300,5,24.9614,89.3411,"One of the earliest urban archaeological sites in Bangladesh, dating back to 3rd century BCE."
14,Sonargaon (Panam City),Dhaka,heritage,abandoned-aesthetic|day-trip|photography,low,any,1200,8,23.6497,90.6108,A ghost town of crumbling 19th-century merchant mansions — peak 'abandoned aesthetic' photo content.
15,Old Dhaka (Puran Dhaka),Dhaka,urban,street-food|history|chaos-core,low,any,1000,9,23.7104,90.4074,"Narrow lanes, Mughal-era architecture, and legendary street food — biryani, chui jhal, and everything in between."
16,Lalbagh Fort,Dhaka,heritage,mughal|photography|city-escape,low,any,800,7,23.7189,90.3883,Unfinished 17th-century Mughal fort complex right in the middle of Old Dhaka.
17,Ahsan Manzil (Pink Palace),Dhaka,heritage,pink-palace|instagrammable|riverside,low,any,800,8,23.7086,90.4058,"The pastel-pink former palace of the Dhaka Nawabs, sitting right on the Buriganga river."
18,Srimangal,Sylhet,tea-garden,seven-layer-tea|nature|chill,low,winter,1600,9,24.3065,91.7296,"Tea capital of Bangladesh — famous for seven-layer tea, pineapple gardens, and the Lawachara rainforest nearby."
19,Lawachara National Park,Sylhet,forest,hoolock-gibbon|trekking|wildlife,low,winter,1500,7,24.3242,91.7859,Rainforest national park home to hoolock gibbons — Bangladesh's only ape species.
20,Himchari National Park,Chattogram,waterfall,waterfall|hiking|near-coxs-bazar,low,winter,1800,7,21.3559,92.0217,Waterfalls and hilltop viewpoints just outside Cox's Bazar — an easy half-day add-on.
21,Nilgiri Hills,Bandarban,hill,clouds|resort-stay|scenic,high,winter,3200,10,21.75,92.4167,One of the highest resort points in BD — you're often standing above the cloud line.
22,Chimbuk Hill,Bandarban,hill,roadtrip|panorama|offbeat,medium,winter,2000,8,21.9333,92.3167,Winding hill road with panoramic Chittagong Hill Tracts views — great biking route.
23,Kaptai National Park,Rangamati,forest,wildlife|jungle|adventure,low,winter,1700,6,22.5,92.2167,Dense forest reserve with elephant sightings and jungle trekking trails.
24,Bhimruli Floating Market,Barishal,wetland,floating-market|unique|boat-tour,low,monsoon,1400,9,22.7333,90.2,A floating guava and vegetable market on canals — locals sell straight from wooden boats.
25,Sitakunda Eco Park,Chattogram,hill,hiking|hot-spring|nature,low,winter,1500,6,22.6167,91.6667,Hiking trails leading to a natural hot spring and hilltop Buddhist temple.
26,Kantajew Temple,Dinajpur,heritage,terracotta|architecture|underrated,low,any,1000,7,25.6833,88.8833,18th-century terracotta Hindu temple famous for its intricate carved brick panels.
27,Nijhum Dwip,Noakhali,island,deer-spotting|off-grid|quiet,low,winter,1600,8,22.05,91.05,Remote island with spotted deer roaming free — genuinely feels like the edge of the map.
28,Char Kukri Mukri,Bhola,island,mangrove|birdwatching|off-grid,low,winter,1500,6,21.95,90.7,Mangrove island sanctuary popular with birdwatchers and people who want zero phone signal.
29,Panam Nagar,Narayanganj,heritage,abandoned-aesthetic|photography|day-trip,low,any,1000,8,23.6483,90.6122,"Row after row of decaying colonial-era merchant houses, frozen in time."
30,Comilla (Mainamati),Comilla,heritage,buddhist-ruins|history|underrated,low,any,1200,5,23.4682,91.1116,"Buddhist archaeological ruins spread across low hills, dating back to the 8th century."
31,Madhabkunda Waterfall,Moulvibazar,waterfall,waterfall|swim|nature,low,monsoon,1400,8,24.6167,92.1333,"The largest waterfall in Bangladesh, tucked inside a tea-garden landscape."
32,Cox's Bazar - Inani Beach,Chattogram,beach,coral-beach|quiet|instagrammable,medium,winter,2600,9,21.2833,92.0333,"Quieter coral-lined stretch south of the main Cox's Bazar beach — better sand, way fewer crowds."
33,Teknaf,Chattogram,beach,border-town|hills-meet-sea|offbeat,medium,winter,2400,7,20.86,92.305,Where the hills tumble straight into the sea — southernmost tip of mainland Bangladesh.
34,Barind Museum & Varendra Research,Rajshahi,heritage,museum|history-nerd|indoor,low,any,900,5,24.3745,88.6042,One of the oldest museums in South Asia with an impressive terracotta and sculpture collection.
35,Foy's Lake,Chattogram,urban,theme-park|family|weekend-trip,low,any,1300,6,22.3667,91.7833,Man-made lake with a hillside amusement park — classic Chattogram weekend spot.
36,Patenga Beach,Chattogram,beach,sunset|city-beach|easy-access,low,any,1200,7,22.2333,91.7833,"River-meets-sea beach right at the edge of Chattogram city, best for a quick sunset fix."
37,Meghla Tourist Complex,Bandarban,hill,lake|cable-car|family,low,winter,1500,6,22.1833,92.2333,Artificial lake surrounded by hills with a cable car and hanging bridge — easy Bandarban intro stop.
38,Baldha Garden,Dhaka,urban,botanical|hidden-gem|indoor,low,any,500,6,23.7133,90.42,A century-old botanical garden tucked inside Old Dhaka with rare plant species from around the world.
39,Hazrat Shahjalal Mazar,Sylhet,heritage,spiritual|pigeons|local-culture,low,any,900,6,24.8967,91.8687,Shrine of the Sufi saint who brought Islam to Sylhet — famous for its resident flock of pigeons.
